Difficulty,Statement,Image,Answer1,Answer2,Answer3
20,What is the Black-Scholes model?,,A stocastic differential equation that allows pricing of some derivatives,A quantitative model in optimal portfolio theory,A stock valuation equation by Fisher Black and Myron Scholes
20,"With perfect compound interest, what is the money earned in an account with an initial investment of $1 over 5 years with a rate of 4 percent?",,$485165195,$1928547,$1 Million
20,The 20 francs gold coin was legal tender in France during. . .,,1803-1914,1791-1914,1791-1866
20,Warren Buffett has been reported to play. . .,,Non-transitive dice,Sudoku,Monopoly
20,"How many troy ounces of gold did France's DeGaulle redeem from the Federal Reserve of New York in the month of Jan., 1965?",,"485,165,195","600,000","1,000,000"
20,"When he died on September 19, 1812, Mayer Amschel Rothschild wrote a set of family rules. Among others, the Rothschild were to. . .",,The family was to intermarry with their own first and second cousins,The family should hire only the best to manage their business,"The family should take over countries by financing both parties in a war, such as WWI and WWII"
20,What happened to Amschel Rothschild in 1996?,,He was found dead in a hotel room,"He became the Rothschild family head, as per founding rules",He brought down the Bank of England by betting against its foreign reserves
20,"What important work did Mayer Amschel Rothschild do for Wilhelm IX, Landgrave of Hesse-Kassel?",,He handled payments from renting males from or passing through Hesse as soldiers,He provided him with useful tips in the Paris stock market,He financed the purchase of the Holy Roman Empiror title from the Habsburgs
20,Some hedge funds question their prospective quants about the non-transitive dice because. . .,,The non-transitive dice resemble the market and the human inability to correctly understand it,The non-transitive dice have the same probability as the market returns,The non-transitive dice are a basic topic in stochastic processes
20,What is the growth function of the compound interest with fixed rate r?,,exp(rt),log(rt),rt^2
20,"According to Voltaire, the art of government consists in. . .",,taking as much money as possible from one party of the citizens to give to the other,building an efficient bureaucracy,growing wealth by preventing imports and promoting exports
20,"According to disclosed documents, the Bank of England and the Federal Reserve . . .",,Stored subprime gold bars in the prime Bundesbank vault,Stored tungsten gold-coated bars in the Bundesbank vault,Stored the gold found in nazi Germany after 1945 in separate vaults
20,Who was Moses Amschel Bauer?,,Amschel Mayer Rothschild's father,The 25th Secretary of the Treasury,The 3rd Chairman of the Federal Reserve
20,What is a currency liquidity swap?,,A swap used by a country's central bank to provide liquidity of its currency to another country's central bank,An instrument in which two parties agree to exchange interest rate cash flows but not the principal,A derivative traded on exchanges
20,What does BIS stand for?,,Bank of International Settlements,Bank of Illinois-Springfield,Bank of International Shippings
20,What is Rentec?,,Renaissance Technologies,Renewable Technologies,Renowned Technicians
20,What is Gloucester Research?,,A hedge fund,A financial tends research institution,A financial consulting firm
20,What does HSBC stand for?,,Hong Kong Shanghai Banking Corporation,Hamilton Schoeneberg Banking Corporation,Hong Kong Singapore Banking Corporation
20,Why did LTCM collapse?,,Their financial models didn't account for tail events such as the Russian and Asian bankruptcies,High leverage on mortgage-backed securities,High leverage on Japan's housing market
20,Which two of these were partners at LTCM?,,Myron Scholes and Robert Merton,Myron Scholes and Fisher Black,Robert Merton and Fisher Black
20,In the 80's Ed Thorp employed a portfolio selection method using. . .,,Factor Analysis,Stochastic Flows,PAMR moving average reversal rebalancing
20,What is this?,kelly1,The Kelly criterion for investing,A directional betting formula,The Shannon criterion for investing
20,Who was the DA prosecuting the case that forced Princeton Newport Partners to liquidate?,,Rudolph Giuliani,Kenneth Starr,Eric Holder
20,What is the similarity between compound interest with fixed rate and the carbon-14 test?,,They are described by essentially the same differential equation,They grow at the same rate,They were characterized in the same research paper
20,Which was Jesse Livermore's nickname?,,Boy Plunger,Killerboy,Dr. Bear
20,Who was J.P. Morgan's head of Global Commodities from 2006 to 2012?,,Blythe Masters,Jim Simons,Emmanuel Derman
20,Who is credited for creating the infamous Credit Default Swaps?,,Blythe Masters,Lloyd Blankfein,Paul Wilmott
20,Who was John Law?,,A Scottish economist,An English financier,An Irish trader
20,How may grams is a troy ounce?,,31.1,28.35,33.14
20,Who is this person?,hunt1,Nelson Bunker Hunt,John Corzine,John Meriwether
20,"Who said ""Banks lend by creating credit. They create the means of payment out of nothing""?",,Ralph M. Hawtry,Otto von Bismarck,Napoleon Bonaparte
20,"Where can you read the following text? ""Money plays the largest part in determining the course of history""",,The Communist Manifesto,The Republic,The Wealth of Nations
